,EventID,Name,Start_Time
95,1232836690060854,WWE Superstar Meet & Greet - Kevin Owens,2016-08-19T13:00:00-0400
96,1036245129784517,WWE Superstar Meet & Greet - AJ Styles,2016-08-19T13:00:00-0400
97,291557147858997,Flo Rida,2016-08-18T19:00:00-0400
98,1216120641755719,Barbra Streisand,2016-08-13T20:00:00-0400
99,1623393841316138,Barbra Streisand,2016-08-11T20:00:00-0400
100,1018189848265316,Showtime Championship Boxing: Leo Santa Cruz v. Carl Frampton,2016-07-30T16:30:00-0400
101,1670456483215297,One Africa Music Fest,2016-07-22T19:30:00-0400
102,513480955511453,Roc Nation Summer Classic Charity Basketball Game,2016-07-21T20:00:00-0400
103,506020119606167,Premier Boxing Champions: Keith Thurman V. Shawn Porter,2016-06-25T17:40:00-0400
104,1651906881728614,Florence and the Machine: How Beautiful Tour,2016-06-15T19:30:00-0400
105,172591269768149,Florence and the Machine: How Beautiful Tour,2016-06-14T19:30:00-0400
106,470554416481575,Selena Gomez,2016-06-01T19:30:00-0400
107,129542534122336,Bad Boy Family Reunion,2016-05-21T20:00:00-0400
108,1562460530720556,Bad Boy Family Reunion,2016-05-20T20:00:00-0400
109,533998446754717,The 1975,2016-05-17T20:00:00-0400
110,1691779354435502,Martin Lawrence,2016-05-14T20:00:00-0400
111,1682210148660056,Justin Bieber: Purpose World Tour,2016-05-05T19:30:00-0400
112,1717746021786469,Justin Bieber: Purpose World Tour,2016-05-04T19:30:00-0400
113,1534274193536511,Bruce Springsteen and the E Street Band: The River Tour,2016-04-25T19:30:00-0400
114,982673068460481,Bruce Springsteen and the E Street Band: The River Tour,2016-04-23T19:30:00-0400
115,1690906441123884,Daily News Golden Gloves,2016-04-17T20:00:00-0400
116,481960465337776,Premier Boxing Champions: Errol Spence Jr. V Chris Algieri,2016-04-16T18:00:00-0400
117,1669645363322962,Jordan Brand Classic,2016-04-15T13:30:00-0400
118,1688754224672197,Brooklyn Nets vs. Toronto Raptors,2016-04-13T20:00:00-0400
119,1559079654353008,Duran Duran:  The Paper Gods Tour with Chic featuring Nile Rodgers,2016-04-12T19:00:00-0400
120,449815798559796,Brooklyn Nets vs. Washington Wizards,2016-04-11T19:30:00-0400
121,1548712108773326,Rock and Roll Hall of Fame Induction Ceremony 2016,2016-04-08T19:00:00-0400
122,1088860701166170,Brooklyn Nets vs. New Orleans Pelicans,2016-04-03T13:00:00-0400
123,1635938336667699,Rihanna: Anti World Tour 2016,2016-03-30T19:30:00-0400
124,924331617642799,WWE Monday Night RAW,2016-03-28T18:30:00-0400
125,1490858214549932,Rihanna: Anti World Tour 2016,2016-03-27T19:30:00-0400
126,906372386077540,Brooklyn Nets vs. Indiana Pacers,2016-03-26T18:00:00-0400
127,1609339076008966,Katt Williams: Conspiracy Theory,2016-03-25T20:00:00-0400
128,615977941876134,Brooklyn Nets vs. Cleveland Cavaliers,2016-03-24T19:30:00-0400
129,1485991165042237,Brooklyn Nets vs. Charlotte Hornets,2016-03-22T19:30:00-0400
130,186411988366341,New York Islanders vs. Philadelphia Flyers,2016-03-21T19:30:00-0400
131,1186352408046362,Brooklyn Nets vs. Philadelphia 76ers,2016-03-15T19:30:00-0400
132,1645118779079633,Brooklyn Nets vs. Milwaukee Bucks,2016-03-13T20:00:00-0400
133,846630715455034,Atlantic 10 Men's Basketball Championship: Final (Session 7),2016-03-13T12:30:00-0400
134,182639642110292,2016 Atlantic 10 Mens Basketball Championship: SERIES PACKAGE,2016-03-13T12:30:00-0400
135,1486856421618974,Atlantic 10 Men's Basketball Championship: Semifinals (Session 6),2016-03-12T13:30:00-0500
136,1679097075681819,Atlantic 10 Men's Basketball Championship: Quarterfinals (Session 5),2016-03-11T18:30:00-0500
137,142247059464626,Atlantic 10 Men's Basketball Championship: Quarterfinals (Session 4),2016-03-11T12:00:00-0500
138,445892182260601,Atlantic 10 Men's Basketball Championship: Second Round (Session 3),2016-03-10T18:30:00-0500
139,954801374585106,Atlantic 10 Men's Basketball Championship: Second Round (Session 2),2016-03-10T12:00:00-0500
140,1496960640632278,Atlantic 10 Men's Basketball Championship: First Round (Session 1),2016-03-09T18:30:00-0500
141,513714092143212,New York Islanders vs. Pittsburgh Penguins,2016-03-08T19:30:00-0500
142,1648052288792671,Ringling Bros. and Barnum & Bailey Presents LEGENDS,2016-03-03T10:30:00-0500
143,1666217227001096,Ringling Bros. and Barnum & Bailey Presents LEGENDS,2016-03-01T10:30:00-0500
144,711870295581455,Brooklyn Nets vs. Charlotte Hornets,2016-02-21T18:00:00-0500
145,441580762633500,Brooklyn Nets vs. New York Knicks,2016-02-19T19:30:00-0500
146,925720510838784,Maxwell and Nas,2016-02-14T20:00:00-0500
147,498201123686279,Ladies Night R&B Super Jam,2016-02-12T20:00:00-0500
148,1518535585134405,Brooklyn Nets vs. Memphis Grizzlies,2016-02-10T19:30:00-0500
149,1717600641794269,Brooklyn Nets vs. Denver Nuggets,2016-02-08T19:30:00-0500
150,1267737186573695,Brooklyn Nets vs. Sacramento Kings,2016-02-05T19:30:00-0500
151,851013821672968,Brooklyn Nets vs. Indiana Pacers,2016-02-03T19:30:00-0500
152,495501630611928,Brooklyn Nets vs. Detroit Pistons,2016-02-01T19:30:00-0500
153,917469148331095,Muse: Drones World Tour,2016-01-27T19:30:00-0500
154,1072613776096025,Brooklyn Nets vs. Miami Heat,2016-01-26T19:30:00-0500
155,463540887163904,Brooklyn Nets vs. Oklahoma City Thunder,2016-01-24T19:30:00-0500
156,886703901384903,Brooklyn Nets vs. Utah Jazz,2016-01-22T19:30:00-0500
157,1659032381047529,Kygo,2016-01-21T20:00:00-0500
158,1648368788751216,Brooklyn Nets vs. Cleveland Cavaliers,2016-01-20T19:30:00-0500
159,943087572448349,Brooklyn Open Skate - Session 2 (11:15AM - 1PM),2016-01-18T11:15:00-0500
160,649072411900382,Brooklyn Open Skate - Session 1 (9AM - 10:45AM),2016-01-18T09:00:00-0500
161,1722640167980478,Heavyweight Championship: Deontay Wilder v. Artur Szpilka,2016-01-16T18:00:00-0500
162,111114779253110,Brooklyn Nets vs. Portland Trail Blazers,2016-01-15T19:30:00-0500
163,920366334665359,Brooklyn Nets vs. New York Knicks,2016-01-13T19:30:00-0500
164,1230863393605995,Brooklyn Nets vs. San Antonio Spurs,2016-01-11T19:30:00-0500
165,1388478754792183,Brooklyn Nets vs. Orlando Magic,2016-01-08T19:30:00-0500
166,1084480751576229,Brooklyn Nets vs. Toronto Raptors,2016-01-06T19:30:00-0500
167,200799846921289,Brooklyn Nets vs. Boston Celtics,2016-01-04T19:30:00-0500
168,1486784441628065,Harlem Globetrotters,2016-01-02T19:00:00-0500
169,1516761571967475,Harlem Globetrotters,2016-01-02T14:00:00-0500
