,Unnamed: 0,EventID,Event_type,Name,Start_Time,Start_Hour,End_Time,End_Hour,weekday
106,63,1230000000000000,concert,Sia: Nostalgic For The Present Tour,2016-10-25 19:00:00,19,2016-10-25 22:00:00,22,True
107,62,1640000000000000,concert,Miguel - Upgrade Meet & Greet Packages,2016-10-25 19:01:00,19,2016-10-25 22:01:00,22,True
108,61,757000000000000,hockey,New York Islanders v. Montreal Canadiens (Bill Torrey Bowtie),2016-10-26 19:00:00,19,2016-10-26 21:00:00,21,True
109,60,1500000000000000,other,Power 105.1 Presents Powerhouse NYC,2016-10-27 19:00:00,19,2016-10-27 22:00:00,22,True
110,59,919000000000000,basketball,Brooklyn Nets vs. Indiana Pacers,2016-10-28 19:30:00,19,2016-10-28 21:30:00,21,True
111,58,1030000000000000,hockey,New York Islanders v. Toronto Maple Leafs (Trick-or-Treat Bag),2016-10-30 18:00:00,18,2016-10-30 20:00:00,20,False
112,57,158000000000000,basketball,Brooklyn Nets vs. Chicago Bulls,2016-10-31 19:30:00,19,2016-10-31 21:30:00,21,True
113,56,1790000000000000,hockey,New York Islanders v. Tampa Bay Lightning,2016-11-01 19:30:00,19,2016-11-01 21:30:00,21,True
114,55,1640000000000000,basketball,Brooklyn Nets vs. Detroit Pistons,2016-11-02 19:30:00,19,2016-11-02 21:30:00,21,True
115,54,508000000000000,hockey,New York Islanders v. Philadelphia Flyers,2016-11-03 19:00:00,19,2016-11-03 21:00:00,21,True
116,53,1160000000000000,basketball,Brooklyn Nets vs. Charlotte Hornets,2016-11-04 19:30:00,19,2016-11-04 21:30:00,21,True
117,52,273000000000000,hockey,New York Islanders v. Edmonton Oilers,2016-11-05 19:00:00,19,2016-11-05 21:00:00,21,False
118,51,283000000000000,family,Kellogg's Tour Of Gymnastics Champions,2016-11-06 17:00:00,17,2016-11-06 18:00:00,18,False
119,50,301000000000000,hockey,New York Islanders v. Vancouver Canucks (Cal Clutterbuck Bobblehead),2016-11-07 19:00:00,19,2016-11-07 21:00:00,21,True
120,49,311000000000000,basketball,Brooklyn Nets v. Minnesota Timberwolves,2016-11-08 19:30:00,19,2016-11-08 21:30:00,21,True
121,48,1640000000000000,family,Disney On Ice presents Follow Your Heart,2016-11-09 19:00:00,19,2016-11-09 21:00:00,21,True
123,46,620000000000000,family,Disney On Ice presents Follow Your Heart,2016-11-10 19:00:00,19,2016-11-10 21:00:00,21,True
125,44,1070000000000000,family,Disney On Ice presents Follow Your Heart,2016-11-11 19:00:00,19,2016-11-11 21:00:00,21,True
128,41,291000000000000,family,Disney On Ice presents Follow Your Heart,2016-11-12 19:00:00,19,2016-11-12 21:00:00,21,False
130,39,893000000000000,family,Disney On Ice presents Follow Your Heart,2016-11-13 17:00:00,17,2016-11-13 19:00:00,19,False
131,38,157000000000000,hockey,New York Islanders v. Tampa Bay Lightning (Brock Nelson Bobblehead),2016-11-14 19:00:00,19,2016-11-14 21:00:00,21,True
132,37,1640000000000000,basketball,LIU Brooklyn Blackbirds Men's Basketball vs. Loyola Greyhounds Men's Basketball,2016-11-16 19:00:00,19,2016-11-16 21:00:00,21,True
133,36,1620000000000000,hockey,New York Islanders V Pittsburgh Penguins,2016-11-18 19:00:00,19,2016-11-18 21:00:00,21,True
134,35,237000000000000,concert,Keith Urban - ripCORD World Tour 2016,2016-11-19 19:30:00,19,2016-11-19 22:30:00,22,False
136,33,178000000000000,basketball,Legends Classic Basketball Doubleheader,2016-11-21 19:00:00,19,2016-11-21 21:00:00,21,True
140,29,939000000000000,basketball,Brooklyn Nets v. Boston Celtics,2016-11-23 19:30:00,19,2016-11-23 21:30:00,21,True
143,26,584000000000000,basketball,Barclays Center Classic Day 1,2016-11-25 19:00:00,19,2016-11-25 21:00:00,21,True
145,24,292000000000000,basketball,Barclays Center Classic Day 2,2016-11-26 19:00:00,19,2016-11-26 21:00:00,21,False
147,22,552000000000000,basketball,Brooklyn Nets v. Sacramento Kings (Texting Gloves Giveaway),2016-11-27 18:00:00,18,2016-11-27 20:00:00,20,False
148,21,1770000000000000,hockey,New York Islanders v. Calgary Flames (Rally Towel Giveaway),2016-11-28 19:00:00,19,2016-11-28 21:00:00,21,True
149,20,1020000000000000,basketball,Brooklyn Nets v. Los Angeles Clippers,2016-11-29 19:30:00,19,2016-11-29 21:30:00,21,True
150,19,262000000000000,hockey,New York Islanders v. Pittsburgh Penguins,2016-11-30 20:00:00,20,2016-11-30 22:00:00,22,True
151,18,955000000000000,basketball,Brooklyn Nets v. Milwaukee Bucks,2016-12-01 19:30:00,19,2016-12-01 21:30:00,21,True
152,17,202000000000000,hockey,New York Islanders v. Detroit Red Wings,2016-12-04 18:00:00,18,2016-12-04 20:00:00,20,False
153,16,1770000000000000,basketball,Brooklyn Nets v. Washington Wizards,2016-12-05 19:30:00,19,2016-12-05 21:30:00,21,True
154,15,657000000000000,hockey,New York Islanders v. New York Rangers,2016-12-06 19:00:00,19,2016-12-06 21:00:00,21,True
155,14,1220000000000000,basketball,Brooklyn Nets v. Denver Nuggets (Brook Lopez Star Wars Bobblehead),2016-12-07 19:30:00,19,2016-12-07 21:30:00,21,True
156,13,1560000000000000,hockey,New York Islanders v. St. Louis Blues,2016-12-08 19:00:00,19,2016-12-08 21:00:00,21,True
157,12,1320000000000000,family,Wcbs-Fm 101.1 Presents Holiday in Brooklyn,2016-12-09 20:00:00,20,2016-12-09 22:00:00,22,True
159,10,974000000000000,hockey,New York Islanders v. Washington Capitals (Star Wars Beanie Giveaway),2016-12-13 19:00:00,19,2016-12-13 21:00:00,21,True
160,9,1250000000000000,basketball,Brooklyn Nets v. Los Angeles Lakers,2016-12-14 19:30:00,19,2016-12-14 21:30:00,21,True
161,8,1230000000000000,hockey,New York Islanders V Chicago Blackhawks,2016-12-15 19:00:00,19,2016-12-15 21:00:00,21,True
162,7,239000000000000,hockey,New York Islanders V Ottawa Senators (Ugly Holiday T-Shirt Giveaway),2016-12-18 19:00:00,19,2016-12-18 21:00:00,21,False
163,6,1200000000000000,basketball,LIU Brooklyn Blackbirds Men's Basketball vs. Niagara University Purple Eagles Men's Basketball,2016-12-21 17:00:00,17,2016-12-21 19:00:00,19,True
164,5,1180000000000000,basketball,Brooklyn Nets v. Golden State Warriors,2016-12-22 19:30:00,19,2016-12-22 21:30:00,21,True
165,4,1580000000000000,hockey,New York Islanders V Buffalo Sabres,2016-12-23 19:00:00,19,2016-12-23 21:00:00,21,True
167,2,1190000000000000,basketball,Brooklyn Nets v. Charlotte Hornets (Winter Scarf Giveaway),2016-12-26 19:30:00,19,2016-12-26 21:30:00,21,True
168,1,1120000000000000,hockey,New York Islanders V Washington Capitals,2016-12-27 19:00:00,19,2016-12-27 21:00:00,21,True
169,0,908000000000000,boxing,WWE Live Holiday Tour,2016-12-28 19:30:00,19,2016-12-28 20:30:00,20,True
