,EventID,Event_type,Name,Start_Time,Start_Hour,End_Time
31,6.57E+14,basketball,Legends Classic Basketball Doubleheader,2016-11-22T15:30:00-0500,,2016-11-22T17:30:00-0500
30,1.79E+15,basketball,Long Island Nets v. Canton Charge,2016-11-23T13:30:00-0500,,2016-11-23T15:30:00-0500
29,9.39E+14,basketball,Brooklyn Nets v. Boston Celtics,2016-11-23T19:30:00-0500,,2016-11-23T21:30:00-0500
28,1.75E+15,basketball,2016 NIT Season Tip-off Day 1,2016-11-24T00:00:00-0500,,2016-11-24T02:00:00-0500
27,1.62E+15,basketball,2016 NIT Season Tip-off Day 2,2016-11-25T00:00:00-0500,,2016-11-25T02:00:00-0500
26,5.84E+14,basketball,Barclays Center Classic Day 1,2016-11-25T19:00:00-0500,,2016-11-25T21:00:00-0500
25,1.09E+15,basketball,Brooklyn Hoops Holiday Invitational: Syracuse V. South Carolina,2016-11-26T00:00:00-0500,,2016-11-26T02:00:00-0500
24,2.92E+14,basketball,Barclays Center Classic Day 2,2016-11-26T19:00:00-0500,,2016-11-26T21:00:00-0500
23,3.11E+14,basketball,Long Island Nets v. Grand Rapids Drive,2016-11-27T12:00:00-0500,,2016-11-27T14:00:00-0500
22,5.52E+14,basketball,Brooklyn Nets v. Sacramento Kings (Texting Gloves Giveaway),2016-11-27T18:00:00-0500,,2016-11-27T20:00:00-0500
21,1.77E+15,hockey,New York Islanders v. Calgary Flames (Rally Towel Giveaway),2016-11-28T19:00:00-0500,,2016-11-28T21:00:00-0500
20,1.02E+15,basketball,Brooklyn Nets v. Los Angeles Clippers,2016-11-29T19:30:00-0500,,2016-11-29T21:30:00-0500
19,2.62E+14,hockey,New York Islanders v. Pittsburgh Penguins,2016-11-30T20:00:00-0500,,2016-11-30T22:00:00-0500
18,9.55E+14,basketball,Brooklyn Nets v. Milwaukee Bucks,2016-12-01T19:30:00-0500,,2016-12-01T21:30:00-0500
17,2.02E+14,hockey,New York Islanders v. Detroit Red Wings,2016-12-04T18:00:00-0500,,2016-12-04T20:00:00-0500
16,1.77E+15,basketball,Brooklyn Nets v. Washington Wizards,2016-12-05T19:30:00-0500,,2016-12-05T21:30:00-0500
15,6.57E+14,hockey,New York Islanders v. New York Rangers,2016-12-06T19:00:00-0500,,2016-12-06T21:00:00-0500
14,1.22E+15,basketball,Brooklyn Nets v. Denver Nuggets (Brook Lopez Star Wars Bobblehead),2016-12-07T19:30:00-0500,,2016-12-07T21:30:00-0500
13,1.56E+15,hockey,New York Islanders v. St. Louis Blues,2016-12-08T19:00:00-0500,,2016-12-08T21:00:00-0500
12,1.32E+15,family,Wcbs-Fm 101.1 Presents Holiday in Brooklyn,2016-12-09T20:00:00-0500,,2016-12-09T22:00:00-0500
11,3.42E+14,basketball,BROOKLYN HOOPS Winter Festival: Kentucky V. Hofstra,2016-12-11T00:00:00-0500,,2016-12-11T02:00:00-0500
10,9.74E+14,hockey,New York Islanders v. Washington Capitals (Star Wars Beanie Giveaway),2016-12-13T19:00:00-0500,,2016-12-13T21:00:00-0500
9,1.25E+15,basketball,Brooklyn Nets v. Los Angeles Lakers,2016-12-14T19:30:00-0500,,2016-12-14T21:30:00-0500
8,1.23E+15,hockey,New York Islanders V Chicago Blackhawks,2016-12-15T19:00:00-0500,,2016-12-15T21:00:00-0500
7,2.39E+14,hockey,New York Islanders V Ottawa Senators (Ugly Holiday T-Shirt Giveaway),2016-12-18T19:00:00-0500,,2016-12-18T21:00:00-0500
6,1.20E+15,basketball,LIU Brooklyn Blackbirds Men's Basketball vs. Niagara University Purple Eagles Men's Basketball,2016-12-21T17:00:00-0500,,2016-12-21T19:00:00-0500
5,1.18E+15,basketball,Brooklyn Nets v. Golden State Warriors,2016-12-22T19:30:00-0500,,2016-12-22T21:30:00-0500
4,1.58E+15,hockey,New York Islanders V Buffalo Sabres,2016-12-23T19:00:00-0500,,2016-12-23T21:00:00-0500
3,2.98E+14,basketball,Long Island Nets vs. Westchester Knicks,2016-12-26T13:30:00-0500,,2016-12-26T15:30:00-0500
2,1.19E+15,basketball,Brooklyn Nets v. Charlotte Hornets (Winter Scarf Giveaway),2016-12-26T19:30:00-0500,,2016-12-26T21:30:00-0500
1,1.12E+15,hockey,New York Islanders V Washington Capitals,2016-12-27T19:00:00-0500,,2016-12-27T21:00:00-0500
0,9.08E+14,boxing,WWE Live Holiday Tour,2016-12-28T19:30:00-0500,,2016-12-28T20:30:00-0500
