,start station id,start station name,start station latitude,start station longitude,Coordinates
5071,3077,Stagg St & Union Ave,40.70877084,-73.95095259,"(40.70877084, -73.95095259)"
769,3078,Broadway & Roebling St,40.70925562,-73.95982218,"(40.70925562, -73.959822180000003)"
3211,3079,Leonard St & Grand St,40.71103537,-73.94714303,"(40.711035369999998, -73.947143030000007)"
3961,3080,S 4 St & Rodney St,40.709340000000005,-73.95608,"(40.709340000000005, -73.95608)"
384,3081,Graham Ave & Grand St,40.711863,-73.944024,"(40.711863000000001, -73.944023999999999)"
345,3082,Hope St & Union Ave,40.71167351,-73.95141312,"(40.711673509999997, -73.951413119999998)"
982,3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,"(40.712476610000003, -73.94100005)"
497,3084,Devoe St & Leonard St,40.71348658,-73.94792458,"(40.713486580000001, -73.947924580000006)"
425,3085,Roebling St & N 4 St,40.714690000000004,-73.95739,"(40.714690000000004, -73.957390000000004)"
367,3086,Graham Ave & Conselyea St,40.715143,-73.944507,"(40.715142999999998, -73.944507000000002)"
121,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,"(40.714133109999999, -73.952343859999999)"
465,3088,Union Ave & Jackson St,40.7160751,-73.95202900000001,"(40.716075099999998, -73.95202900000001)"
25859,3089,Leonard St & Meeker Ave,40.717318403855785,-73.9482021331787,"(40.717318403855785, -73.948202133178697)"
1219,3090,N 8 St & Driggs Ave,40.71774592,-73.95600096,"(40.717745919999999, -73.956000959999997)"
16,3091,Frost St & Meeker St,40.71764,-73.94882,"(40.717640000000003, -73.948819999999998)"
553,3092,Berry St & N 8 St,40.7190095,-73.95852515,"(40.719009499999999, -73.95852515)"
114,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,"(40.717451689999997, -73.958509390000003)"
5440,3094,Graham Ave & Withers St,40.7169811,-73.94485918,"(40.716981099999998, -73.944859179999995)"
101,3095,Graham Ave & Herbert St,40.71929301,-73.94500379,"(40.719293010000001, -73.945003790000001)"
504,3096,Union Ave & N 12 St,40.71924,-73.95241999999999,"(40.719239999999999, -73.952419999999989)"
2258,3098,Leonard St & Bayard St,40.71928,-73.94861,"(40.719279999999998, -73.948610000000002)"
22,3099,Leonard St & Manhattan Ave,40.72152240339303,-73.94898265600203,"(40.721522403393031, -73.94898265600203)"
816,3100,Nassau Ave & Newell St,40.724812564400175,-73.94752621650694,"(40.724812564400175, -73.947526216506944)"
7750,3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,"(40.720798209999998, -73.954847119999997)"
391,3102,Driggs Ave & Lorimer St,40.72179134,-73.95041540000001,"(40.721791340000003, -73.950415400000011)"
357,3103,N 11 St & Wythe Ave,40.72153267,-73.95782357,"(40.721532670000002, -73.957823570000002)"
280,3105,N 15 St & Wythe Ave,40.724055,-73.955736,"(40.724055, -73.955736000000002)"
1014,3106,Driggs Ave & N Henry St,40.72325,-73.94308000000001,"(40.72325, -73.943080000000009)"
220,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,"(40.723116509999997, -73.952123240000006)"
428,3108,Nassau Ave & Russell St,40.725570000000005,-73.94434,"(40.725570000000005, -73.944339999999997)"
1349,3109,Banker St & Meserole Ave,40.72606,-73.95621,"(40.726059999999997, -73.956209999999999)"
278,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,"(40.727085840000001, -73.952991170000004)"
23,3111,Norman Ave & Leonard St,40.725848299999996,-73.95064893,"(40.725848299999996, -73.95064893)"
144,3112,Milton St & Franklin St,40.72906,-73.95779,"(40.729059999999997, -73.957790000000003)"
43,3113,Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394,"(40.730259999999994, -73.953940000000003)"
2617,3114,India St & East River,40.73165141,-73.96161892,"(40.731651409999998, -73.961618920000006)"
1178,3115,India St & Manhattan Ave,40.73232194,-73.9550858,"(40.732321939999999, -73.955085800000006)"
297,3116,Huron St & Franklin St,40.732659999999996,-73.95826,"(40.732659999999996, -73.958259999999996)"
2706,3117,Franklin St & Dupont St,40.735640000000004,-73.95866,"(40.735640000000004, -73.958659999999995)"
772,3118,McGuinness Blvd & Eagle St,40.73555,-73.95284000000001,"(40.735550000000003, -73.952840000000009)"
254,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,"(40.742327439999997, -73.954117490000002)"
1551,3120,Center Blvd & Borden Ave,40.741609999999994,-73.96044,"(40.741609999999994, -73.960440000000006)"
1503,3121,Jackson Ave & 46 Rd,40.74524768,-73.94733276,"(40.745247679999999, -73.947332759999995)"
1399,3122,48 Ave & 5 St,40.74436328706688,-73.95587325096129,"(40.744363287066882, -73.95587325096129)"
15085,3123,31 St & Thomson Ave,40.74469738,-73.93540375,"(40.744697379999998, -73.935403750000006)"
1539,3124,46 Ave & 5 St,40.74731,-73.95451,"(40.747309999999999, -73.954509999999999)"
191,3125,45 Rd & 11 St,40.74708586,-73.94977234,"(40.747085859999999, -73.949772339999996)"
377,3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,"(40.747182340000002, -73.9432635)"
7025,3127,9 St & 44 Rd,40.74966,-73.9521,"(40.749659999999999, -73.952100000000002)"
7250,3128,21 St & 43 Ave,40.75052534,-73.94594845,"(40.750525340000003, -73.945948450000003)"
411,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,"(40.751101650000003, -73.940737170000006)"
1335,3131,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,"(40.76712840349542, -73.962246179580688)"
2327,3132,E 59 St & Madison Ave,40.76350532,-73.97109243,"(40.76350532, -73.971092429999999)"
921,3134,3 Ave & E 62 St,40.76312584,-73.96526895,"(40.763125840000001, -73.965268949999995)"
154,3135,E 75 St & 3 Ave,40.77112927,-73.95772297,"(40.771129270000003, -73.957722970000006)"
324,3137,5 Ave & E 73 St,40.77282817,-73.96685276,"(40.772828169999997, -73.966852759999995)"
